adm1_code,state,st,disease,cases1993,cases1994,cases1995,cases1996,cases1997,cases1998,cases1999,cases2000,cases2001,cases2002,cases2003,cases2004,cases2005,cases2006,cases2007,cases2008,cases2009,cases2010,cases2011,cases2012,cases2013
USA-3542,Florida,FL,Pertussis,104,109,94,100,90,66,113,67,29,53,113,132,208,228,211,314,497,328,312,575,732
USA-3543,Georgia,GA,Pertussis,56,37,30,35,18,38,52,52,23,29,36,28,48,102,37,115,223,247,179,318,317
,Maryland,MD,Pertussis,133,74,49,278,119,66,124,133,53,68,94,159,219,152,118,164,148,139,123,369,213
,North Carolina,NC,Pertussis,199,140,137,186,118,112,104,129,75,46,144,101,127,334,330,94,220,343,198,612,583
,South Carolina,SC,Pertussis,73,14,28,49,32,29,27,63,34,48,208,206,405,199,102,147,262,392,156,224,218
,Virginia,VA,Pertussis,75,37,31,108,59,56,65,134,272,168,219,400,363,221,128,198,222,384,399,625,418
,West Virginia,WV,Pertussis,8,6,1,7,6,7,6,3,6,35,28,51,53,66,32,11,40,166,101,85,19
USA-3541,Alabama,AL,Pertussis,65,35,38,26,34,27,21,20,37,37,19,49,82,106,91,69,305,206,143,212,200
USA-3548,Kentucky,KY,Pertussis,38,60,27,142,74,95,49,63,96,103,53,98,155,59,33,183,226,303,179,666,383
,Mississippi,MS,Pertussis,1,12,3,10,11,6,3,4,5,9,15,17,62,37,255,105,75,106,49,77,59
,Tennessee,TN,Pertussis,183,22,209,24,40,40,45,45,70,124,83,173,217,172,84,116,197,233,110,305,247
USA-3528,Arkansas,AR,Pertussis,18,33,59,14,62,93,26,44,858,488,92,95,321,112,173,197,369,245,80,248,466
,Louisiana,LA,Pertussis,14,15,22,15,21,13,9,21,12,7,11,23,51,24,21,95,149,50,31,72,214
,Oklahoma,OK,Pertussis,86,38,44,21,60,33,43,60,43,135,106,120,127,64,58,100,117,198,68,154,255
,Texas,TX,Pertussis,121,160,217,151,233,288,152,327,615,1240,670,1184,2224,954,1051,2046,3358,2848,961,2218,3985
USA-3520,Arizona,AZ,Pertussis,70,122,164,33,45,241,139,143,690,717,211,278,1108,508,210,218,277,546,867,1130,1440
USA-3522,Colorado,CO,Pertussis,187,228,149,336,415,357,313,488,389,465,372,1184,1383,710,307,161,231,540,416,1494,1418
USA-3518,Idaho,ID,Pertussis,101,172,116,115,570,263,146,64,171,151,82,66,220,88,45,40,99,187,192,235,237
,Montana,MT,Pertussis,11,12,9,37,18,17,2,35,54,10,5,84,586,115,53,84,61,121,134,549,663
,Nevada,NV,Pertussis,5,3,119,41,51,41,14,15,41,48,35,53,50,71,37,28,24,38,34,112,181
